raw_endpoint	task_type	raw_unit	raw_relation	descriptive_only	n	unique_values	min	p01	p05	p25	median	p75	p95	p99	max	mean	sd	iqr	mad	top_value_fraction	zero_count	negative_count	positive_count	tukey_outlier_count
cytotoxicity	censored_regression	nM	>	true	18	2	10000	10000	10000	10000	15000	15000	15000	15000	15000	13055.5555556	2508.15662852	5000	0	0.611111111111	0	0	18	0
cytotoxicity	regression	%	<	true	80	9	1	2.58	5	5	10	10	20	40	40	9.8825	7.0164864625	5	0	0.5125	0	0	80	6
cytotoxicity	regression	%	<=	true	5	2	22	22	22	22	50	50	50	50	50	38.8	15.3362316101	28	0	0.6	0	0	5	0
cytotoxicity	regression	%	=	true	1629	313	0	0	0	8	17	38	92.624	100	100	27.1838367096	28.2757501407	30	12	0.142418661756	232	0	1397	144
cytotoxicity	regression	%	>	true	32	4	10	10	10	10	10	10	90	93.45	95	23.90625	29.7498814039	0	0	0.8125	0	0	32	6
cytotoxicity	regression	nM	blank	true	108	105	2.26	6.049	12.07	89.25	346	1509.25	5844.45	10662.68	12300	1290.86814815	2242.2239762	1420	304	0.0185185185185	0	0	108	13
cytotoxicity	regression	uM	<	true	9	2	25	31	55	100	100	100	100	100	100	91.6666666667	25	0	0	0.888888888889	0	0	9	1
cytotoxicity	regression	uM	=	true	1579	918	0.065	0.6068	3	14	35	72.85	250.06	1025.1	5921	89.8102045598	314.572415518	58.85	25.4	0.0151994933502	0	0	1579	130
cytotoxicity	regression	uM	>	true	549	65	4.5	12.92	25	64	100	170	382.8	600	4000	147.240054645	201.80879237	106	45.6	0.24043715847	0	0	549	29
cytotoxicity	regression	uM	>=	true	43	8	40	40	40	65	65	200	512	512	512	163.046511628	174.745250428	135	15	0.441860465116	0	0	43	8
cytotoxicity	regression	ug/mL	=	true	480	375	0.44	1.2396	5.5055	23.925	69.7	200	530.2	958.4273	11226	189.240416667	661.844129924	176.075	55.3	0.0354166666667	0	0	480	32
cytotoxicity	regression	ug/mL	>	true	192	21	10	30	32	50	200	300	1000	1000	10000	304.937213542	752.46569021	250	136	0.161458333333	0	0	192	17
cytotoxicity_cc50	censored_numeric_regression	uM	>	true	25	10	25	25	60	395	467	500	500	500	500	393.4	153.450589224	105	33	0.44	0	0	25	6
cytotoxicity_cc50	censored_numeric_regression	ug/mL	>	true	1	1	100	100	100	100	100	100	100	100	100	100	0	0	0	1	0	0	1	0
cytotoxicity_cc50	numeric_regression	mg/mL	=	true	2	2	0.04	0.0606	0.143	0.555	1.07	1.585	1.997	2.0794	2.1	1.07	1.45663996924	1.03	1.03	0.5	0	0	2	0
cytotoxicity_cc50	numeric_regression	uM	=	true	10	10	12	12.5175	14.5875	20.65	50.85	144.775	343.96412	447.192824	473	107.48036	142.905317589	124.125	32.375	0.1	0	0	10	1
cytotoxicity_cc50	numeric_regression	ug/mL	=	true	1	1	79.8	79.8	79.8	79.8	79.8	79.8	79.8	79.8	79.8	79.8	0	0	0	1	0	0	1	0
cytotoxicity_ec50	censored_numeric_regression	uM	>	true	1	1	100	100	100	100	100	100	100	100	100	100	0	0	0	1	0	0	1	0
cytotoxicity_ec50	numeric_regression	uM	=	true	31	29	2	2.9	5.55	11.15	22.5	49	168	171.8	173	43.8129032258	50.5537189	37.85	12.5	0.0645161290323	0	0	31	4
cytotoxicity_hc50	numeric_regression	uM	=	true	1	1	53.12	53.12	53.12	53.12	53.12	53.12	53.12	53.12	53.12	53.12	0	0	0	1	0	0	1	0
cytotoxicity_ic50	censored_numeric_regression	mM	>	true	1	1	2	2	2	2	2	2	2	2	2	2	0	0	0	1	0	0	1	0
cytotoxicity_ic50	censored_numeric_regression	mg/mL	>	true	1	1	4	4	4	4	4	4	4	4	4	4	0	0	0	1	0	0	1	0
cytotoxicity_ic50	censored_numeric_regression	uM	>	true	21	12	40	52	100	100	150	438	489	497.8	500	228.428571429	160.337946672	338	50	0.238095238095	0	0	21	0
cytotoxicity_ic50	censored_numeric_regression	uM	>=	true	1	1	100	100	100	100	100	100	100	100	100	100	0	0	0	1	0	0	1	0
cytotoxicity_ic50	censored_numeric_regression	ug/mL	>	true	6	2	256	256	256	256	256	256	814	962.8	1000	380	303.736728105	0	0	0.833333333333	0	0	6	1
cytotoxicity_ic50	numeric_regression	mM	=	true	2	2	0.9	0.906	0.93	1.05	1.2	1.35	1.47	1.494	1.5	1.2	0.424264068712	0.3	0.3	0.5	0	0	2	0
cytotoxicity_ic50	numeric_regression	uM	=	true	102	95	1	1.2296	5.0045	16.6375	32.48	66.72	347.185	586.77	1185	84.5859803922	154.043227977	50.0825	23.5	0.0196078431373	0	0	102	17
cytotoxicity_ic50	numeric_regression	ug/mL	=	true	13	13	22.67	24.0692	29.666	43.83	52.83	150	360.744	419.9808	434.79	115.640769231	124.497657238	106.17	18.5	0.0769230769231	0	0	13	2
cytotoxicity_lc50	censored_numeric_regression	ug/mL	>	true	2	2	128	129.72	136.6	171	214	257	291.4	298.28	300	214	121.622366364	86	86	0.5	0	0	2	0
cytotoxicity_lc50	numeric_regression	uM	=	true	6	6	5.6	7.32	14.2	41.25	47.5	63.5	84.5	88.9	90	49.7666666667	28.3550113149	22.25	14	0.166666666667	0	0	6	1
cytotoxicity_lc50	numeric_regression	ug/mL	=	true	2	2	57	57.411	59.055	67.275	77.55	87.825	96.045	97.689	98.1	77.55	29.0620887068	20.55	20.55	0.5	0	0	2	0
cytotoxicity_percent	censored_numeric_regression	%	<	true	10	3	5	5.45	7.25	10	10	17.5	20	20	20	12.5	5.40061724867	7.5	0	0.6	0	0	10	0
cytotoxicity_percent	numeric_regression	%	=	true	28	16	1.1	1.154	1.72	7.25	26	50	100	100	100	32.9225	29.9922389498	42.75	22.95	0.285714285714	0	0	28	0
cytotoxicity_proxy	regression	%	blank	true	36	17	15	32.85	78	96	99	100.25	104.25	107.6	109	95.0833333333	15.5552012431	4.25	2.5	0.138888888889	0	0	36	6
efflux_ratio	censored_regression	ratio	>	true	15	1	20	20	20	20	20	20	20	20	20	20	0	0	0	1	0	0	15	0
efflux_ratio	regression	ratio	blank	true	170	126	0.24	0.2876	0.539	1.205	3	7.75	199.4	321.72	380	23.2516588235	67.4228153234	6.545	2.155	0.0823529411765	0	0	170	21
exposure	regression	ng*h/mL	blank	true	10	10	172	172.63	175.15	563.5	809.5	1027	1328.85	1331.37	1332	780.5	414.692456326	463.5	245.5	0.1	0	0	10	0
half_life	censored_regression	min	<	true	3	1	5	5	5	5	5	5	5	5	5	5	0	0	0	1	0	0	3	0
half_life	regression	h	blank	true	4	4	0.2	0.203	0.215	0.275	0.75	1.25	1.37	1.394	1.4	0.775	0.613052471925	0.975	0.5	0.25	0	0	4	0
half_life	regression	min	blank	true	6	5	8	8	8	8.5	21	39.5	75.75	84.75	87	31.1666666667	30.8442323079	31	13	0.333333333333	0	0	6	1
hemolysis	regression	%	<	true	1546	48	0	0.2225	1	5	5	10	50	100	100	11.7832082794	16.6425625805	5	4	0.388745148771	1	0	1545	266
hemolysis	regression	%	<=	true	79	5	1.5	3.45	5	5	10	10	11	20	20	8.22151898734	3.74572135006	5	0	0.506329113924	0	0	79	4
hemolysis	regression	%	=	true	16016	1347	0	0	0	2	10	41	96	100	100	23.232010964	28.9613974775	39	10	0.157405094905	2521	0	13495	707
hemolysis	regression	%	>	true	148	25	0.1	0.735	5	10	40	60	93.25	100	100	41.0513513514	29.4945134676	50	27.75	0.216216216216	0	0	148	0
hemolysis	regression	%	>=	true	29	8	2	2.84	5	5	5	10	69	89.4	95	17.3103448276	24.1011313431	5	0	0.551724137931	0	0	29	7
hemolysis	regression	%	~	true	243	43	0	0	1	6.5	20	61.5	100	100	100	35.2678600823	34.5686302097	55	18	0.135802469136	10	0	233	0
hemolysis	regression	mM	=	true	16	16	1.02	1.164	1.74	2.295	4.3	6.6375	17.7425	26.0045	28.07	6.195625	6.71930052783	4.3425	2.135	0.0625	0	0	16	2
hemolysis	regression	mg/L	>	true	7	1	500	500	500	500	500	500	500	500	500	500	0	0	0	1	0	0	7	0
