endpoint_family	partition	field	rows	missing_rows	missing_fraction
T1/2	binary_evidence_catalog	identity_group_id	918	0	0
T1/2	binary_evidence_catalog	representation_text	918	0	0
T1/2	binary_evidence_catalog	sequence	918	0	0
T1/2	binary_evidence_catalog	source_id	918	0	0
T1/2	binary_evidence_catalog	source_group_ids	918	0	0
T1/2	binary_evidence_catalog	raw_endpoint_detail	918	0	0
T1/2	binary_evidence_catalog	raw_unit	918	918	1
T1/2	binary_evidence_catalog	normalized_value	918	0	0
T1/2	binary_evidence_catalog	normalized_unit	918	0	0
T1/2	binary_evidence_catalog	raw_species	918	918	1
T1/2	binary_evidence_catalog	raw_matrix	918	918	1
T1/2	binary_evidence_catalog	raw_assay	918	918	1
T1/2	binary_evidence_catalog	raw_route	918	918	1
T1/2	binary_evidence_catalog	raw_dose	918	918	1
T1/2	binary_evidence_catalog	raw_timepoint	918	918	1
T1/2	censored_numeric	task_id	195	0	0
T1/2	censored_numeric	identity_group_id	195	0	0
T1/2	censored_numeric	representation_text	195	0	0
T1/2	censored_numeric	sequence	195	3	0.0153846153846
T1/2	censored_numeric	source_id	195	0	0
T1/2	censored_numeric	source_group_ids	195	0	0
T1/2	censored_numeric	raw_endpoint_detail	195	0	0
T1/2	censored_numeric	raw_unit	195	0	0
T1/2	censored_numeric	normalized_value	195	0	0
T1/2	censored_numeric	normalized_unit	195	0	0
T1/2	censored_numeric	raw_species	195	188	0.964102564103
T1/2	censored_numeric	raw_matrix	195	5	0.025641025641
T1/2	censored_numeric	raw_assay	195	0	0
T1/2	censored_numeric	raw_route	195	4	0.0205128205128
T1/2	censored_numeric	raw_dose	195	195	1
T1/2	censored_numeric	raw_timepoint	195	195	1
T1/2	identity_review	task_id	964	0	0
T1/2	identity_review	identity_group_id	964	964	1
T1/2	identity_review	representation_text	964	964	1
T1/2	identity_review	sequence	964	0	0
T1/2	identity_review	source_id	964	0	0
T1/2	identity_review	source_group_ids	964	0	0
T1/2	identity_review	raw_endpoint_detail	964	0	0
T1/2	identity_review	raw_unit	964	0	0
T1/2	identity_review	normalized_value	964	1	0.00103734439834
T1/2	identity_review	normalized_unit	964	1	0.00103734439834
T1/2	identity_review	raw_species	964	922	0.95643153527
T1/2	identity_review	raw_matrix	964	0	0
T1/2	identity_review	raw_assay	964	0	0
T1/2	identity_review	raw_route	964	55	0.0570539419087
T1/2	identity_review	raw_dose	964	964	1
T1/2	identity_review	raw_timepoint	964	964	1
T1/2	normalization_review	task_id	69	0	0
T1/2	normalization_review	identity_group_id	69	0	0
T1/2	normalization_review	representation_text	69	0	0
T1/2	normalization_review	sequence	69	0	0
T1/2	normalization_review	source_id	69	0	0
T1/2	normalization_review	source_group_ids	69	0	0
T1/2	normalization_review	raw_endpoint_detail	69	0	0
T1/2	normalization_review	raw_unit	69	0	0
T1/2	normalization_review	normalized_value	69	18	0.260869565217
T1/2	normalization_review	normalized_unit	69	18	0.260869565217
T1/2	normalization_review	raw_species	69	69	1
T1/2	normalization_review	raw_matrix	69	3	0.0434782608696
T1/2	normalization_review	raw_assay	69	3	0.0434782608696
T1/2	normalization_review	raw_route	69	3	0.0434782608696
T1/2	normalization_review	raw_dose	69	69	1
T1/2	normalization_review	raw_timepoint	69	69	1
T1/2	semantic_review	task_id	1394	0	0
T1/2	semantic_review	identity_group_id	1394	0	0
T1/2	semantic_review	representation_text	1394	0	0
T1/2	semantic_review	sequence	1394	6	0.00430416068867
T1/2	semantic_review	source_id	1394	0	0
T1/2	semantic_review	source_group_ids	1394	0	0
T1/2	semantic_review	raw_endpoint_detail	1394	0	0
T1/2	semantic_review	raw_unit	1394	0	0
T1/2	semantic_review	normalized_value	1394	0	0
T1/2	semantic_review	normalized_unit	1394	0	0
T1/2	semantic_review	raw_species	1394	1388	0.995695839311
T1/2	semantic_review	raw_matrix	1394	0	0
T1/2	semantic_review	raw_assay	1394	0	0
T1/2	semantic_review	raw_route	1394	0	0
T1/2	semantic_review	raw_dose	1394	1390	0.997130559541
T1/2	semantic_review	raw_timepoint	1394	1394	1
T1/2	strict_numeric	task_id	1392	0	0
T1/2	strict_numeric	identity_group_id	1392	0	0
T1/2	strict_numeric	representation_text	1392	0	0
T1/2	strict_numeric	sequence	1392	16	0.0114942528736
T1/2	strict_numeric	source_id	1392	0	0
T1/2	strict_numeric	source_group_ids	1392	0	0
T1/2	strict_numeric	raw_endpoint_detail	1392	0	0
T1/2	strict_numeric	raw_unit	1392	0	0
T1/2	strict_numeric	normalized_value	1392	0	0
T1/2	strict_numeric	normalized_unit	1392	0	0
T1/2	strict_numeric	raw_species	1392	1325	0.951867816092
T1/2	strict_numeric	raw_matrix	1392	43	0.0308908045977
T1/2	strict_numeric	raw_assay	1392	0	0
T1/2	strict_numeric	raw_route	1392	29	0.0208333333333
T1/2	strict_numeric	raw_dose	1392	1392	1
T1/2	strict_numeric	raw_timepoint	1392	1392	1
Vd	identity_review	task_id	6	0	0
Vd	identity_review	identity_group_id	6	6	1
Vd	identity_review	representation_text	6	6	1
Vd	identity_review	sequence	6	0	0
Vd	identity_review	source_id	6	0	0
Vd	identity_review	source_group_ids	6	0	0
Vd	identity_review	raw_endpoint_detail	6	0	0
Vd	identity_review	raw_unit	6	0	0
Vd	identity_review	normalized_value	6	0	0
Vd	identity_review	normalized_unit	6	0	0
Vd	identity_review	raw_species	6	0	0
Vd	identity_review	raw_matrix	6	0	0
Vd	identity_review	raw_assay	6	0	0
