task_id	endpoint_family	parameter_semantics	normalized_unit	strict_modelable	size_bin	n	unique_values	min	p01	p05	p25	median	p75	p95	p99	max	mean	sd	iqr	mad	top_value_fraction	zero_count	negative_count	positive_count	tukey_outlier_count	assay_family	hard_conflict_rows	helm_representation_rows	largest_source_fraction	parameter_basis	research_modelable	semantic_signature	sequence_representation_rows	smiles_representation_rows	target_transform	unique_identities	unique_sources
mlv1.t1_2.regression.systemic_terminal_pk.bda4daa4d282be54	T1/2	systemic_terminal_pk	log10(h)	false	2-4	2	2	0.227886704614	0.24224578879	0.299682125494	0.586863809016	0.945840913417	1.30481801782	1.59199970134	1.64943603804	1.66379512222	0.945840913417	1.01534057925	0.717954208803	0.717954208803	0.5	0	0	2	0	systemic_terminal_pk	0	2	1	elapsed_time	false	"{""assay_family"":""systemic_terminal_pk"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""elisa"",""matrix"":""plasma"",""protease"":""not_applicable"",""route"":""iv"",""species"":""rhesus_monkey""},""endpoint_family"":""T1/2"",""normalized_unit"":""log10(h)"",""parameter_basis"":""elapsed_time"",""parameter_semantics"":""systemic_terminal_pk"",""target_kind"":""regression"",""target_transform"":""log10""}"	0	0	log10	2	1
mlv1.t1_2.regression.systemic_terminal_pk.be34908dd12a467d	T1/2	systemic_terminal_pk	log10(h)	false	2-4	4	4	0	0.00124178055475	0.00620890277373	0.0310445138687	0.171211340411	0.348612920207	0.462811939108	0.485651742889	0.491361693834	0.208446093664	0.230918189688	0.317568406338	0.150514997832	0.25	1	0	3	0	systemic_terminal_pk	0	4	1	elapsed_time	false	"{""assay_family"":""systemic_terminal_pk"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""fluorescence"",""matrix"":""plasma"",""protease"":""not_applicable"",""route"":""iv"",""species"":""mouse""},""endpoint_family"":""T1/2"",""normalized_unit"":""log10(h)"",""parameter_basis"":""elapsed_time"",""parameter_semantics"":""systemic_terminal_pk"",""target_kind"":""regression"",""target_transform"":""log10""}"	0	0	log10	4	1
mlv1.t1_2.regression.systemic_terminal_pk.be68d2df85b217bb	T1/2	systemic_terminal_pk	log10(h)	false	10-29	11	11	-1.20215563018	-1.18985819177	-1.14066843812	0.222490556044	0.989004615699	1.07990386649	1.35949981894	1.5402685474	1.58546072951	0.52671906407	0.915716183559	0.857413310441	0.256610855876	0.0909090909091	0	2	9	2	systemic_terminal_pk	0	8	1	elapsed_time	false	"{""assay_family"":""systemic_terminal_pk"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""lc_ms"",""matrix"":""plasma"",""protease"":""not_applicable"",""route"":""iv"",""species"":""rat""},""endpoint_family"":""T1/2"",""normalized_unit"":""log10(h)"",""parameter_basis"":""elapsed_time"",""parameter_semantics"":""systemic_terminal_pk"",""target_kind"":""regression"",""target_transform"":""log10""}"	0	3	log10	11	1
mlv1.t1_2.regression.systemic_terminal_pk.bfadb866bf932c68	T1/2	systemic_terminal_pk	log10(h)	false	2-4	4	4	-0.632023214705	-0.604984136571	-0.496827824033	0.0439537386527	0.375361009137	0.632582897782	0.995319544052	1.06786687331	1.08600370562	0.301175627297	0.711882188973	0.588629159129	0.408362157924	0.25	0	1	3	0	systemic_terminal_pk	0	4	1	elapsed_time	false	"{""assay_family"":""systemic_terminal_pk"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""lc_ms_ms"",""matrix"":""plasma"",""protease"":""not_applicable"",""route"":""iv"",""species"":""mouse""},""endpoint_family"":""T1/2"",""normalized_unit"":""log10(h)"",""parameter_basis"":""elapsed_time"",""parameter_semantics"":""systemic_terminal_pk"",""target_kind"":""regression"",""target_transform"":""log10""}"	0	0	log10	4	1
mlv1.t1_2.regression.systemic_terminal_pk.c0581772b76164ea	T1/2	systemic_terminal_pk	log10(h)	false	1	1	1	0.662757831682	0.662757831682	0.662757831682	0.662757831682	0.662757831682	0.662757831682	0.662757831682	0.662757831682	0.662757831682	0.662757831682	0	0	0	1	0	0	1	0	systemic_terminal_pk	0	0	1	elapsed_time	false	"{""assay_family"":""systemic_terminal_pk"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""other_peptherdia_curated_appr_7011057c"",""matrix"":""other_terminal_half_life"",""protease"":""not_applicable"",""route"":""intrathecal"",""species"":""human""},""endpoint_family"":""T1/2"",""normalized_unit"":""log10(h)"",""parameter_basis"":""elapsed_time"",""parameter_semantics"":""systemic_terminal_pk"",""target_kind"":""regression"",""target_transform"":""log10""}"	0	1	log10	1	1
mlv1.t1_2.regression.systemic_terminal_pk.c07c623be369d34c	T1/2	systemic_terminal_pk	log10(h)	false	1	1	1	1.28555730901	1.28555730901	1.28555730901	1.28555730901	1.28555730901	1.28555730901	1.28555730901	1.28555730901	1.28555730901	1.28555730901	0	0	0	1	0	0	1	0	systemic_terminal_pk	0	1	1	elapsed_time	false	"{""assay_family"":""systemic_terminal_pk"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""other_eia"",""matrix"":""plasma"",""protease"":""not_applicable"",""route"":""sc"",""species"":""mouse""},""endpoint_family"":""T1/2"",""normalized_unit"":""log10(h)"",""parameter_basis"":""elapsed_time"",""parameter_semantics"":""systemic_terminal_pk"",""target_kind"":""regression"",""target_transform"":""log10""}"	0	0	log10	1	1
mlv1.t1_2.regression.systemic_terminal_pk.c31410a3363a6e11	T1/2	systemic_terminal_pk	log10(h)	false	1	1	1	-0.315753252485	-0.315753252485	-0.315753252485	-0.315753252485	-0.315753252485	-0.315753252485	-0.315753252485	-0.315753252485	-0.315753252485	-0.315753252485	0	0	0	1	0	1	0	0	systemic_terminal_pk	0	1	1	elapsed_time	false	"{""assay_family"":""systemic_terminal_pk"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""other_pet_ct_imaging"",""matrix"":""blood"",""protease"":""not_applicable"",""route"":""iv"",""species"":""nonhuman_primate""},""endpoint_family"":""T1/2"",""normalized_unit"":""log10(h)"",""parameter_basis"":""elapsed_time"",""parameter_semantics"":""systemic_terminal_pk"",""target_kind"":""regression"",""target_transform"":""log10""}"	0	0	log10	1	1
mlv1.t1_2.regression.systemic_terminal_pk.c3882ddc4ef1c9c0	T1/2	systemic_terminal_pk	log10(h)	false	1	1	1	0.959041392321	0.959041392321	0.959041392321	0.959041392321	0.959041392321	0.959041392321	0.959041392321	0.959041392321	0.959041392321	0.959041392321	0	0	0	1	0	0	1	0	systemic_terminal_pk	0	1	1	elapsed_time	false	"{""assay_family"":""systemic_terminal_pk"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""other_fluorometery"",""matrix"":""other_mouse_tissue_of_myocardial_aca9e60f"",""protease"":""not_applicable"",""route"":""route_not_reported"",""species"":""mouse""},""endpoint_family"":""T1/2"",""normalized_unit"":""log10(h)"",""parameter_basis"":""elapsed_time"",""parameter_semantics"":""systemic_terminal_pk"",""target_kind"":""regression"",""target_transform"":""log10""}"	0	0	log10	1	1
mlv1.t1_2.regression.systemic_terminal_pk.c3ab84e0ad88dddb	T1/2	systemic_terminal_pk	log10(h)	false	1	1	1	0.623249290398	0.623249290398	0.623249290398	0.623249290398	0.623249290398	0.623249290398	0.623249290398	0.623249290398	0.623249290398	0.623249290398	0	0	0	1	0	0	1	0	systemic_terminal_pk	0	1	1	elapsed_time	false	"{""assay_family"":""systemic_terminal_pk"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""lc_ms"",""matrix"":""serum"",""protease"":""not_applicable"",""route"":""route_not_reported"",""species"":""rat""},""endpoint_family"":""T1/2"",""normalized_unit"":""log10(h)"",""parameter_basis"":""elapsed_time"",""parameter_semantics"":""systemic_terminal_pk"",""target_kind"":""regression"",""target_transform"":""log10""}"	0	0	log10	1	1
mlv1.t1_2.regression.systemic_terminal_pk.c41c2e9f5f64b58d	T1/2	systemic_terminal_pk	log10(h)	false	1	1	1	1.34242268082	1.34242268082	1.34242268082	1.34242268082	1.34242268082	1.34242268082	1.34242268082	1.34242268082	1.34242268082	1.34242268082	0	0	0	1	0	0	1	0	systemic_terminal_pk	0	1	1	elapsed_time	false	"{""assay_family"":""systemic_terminal_pk"",""binary_evidence_lane"":""not_binary"",""condition"":{""assay"":""other_radiochromatography"",""matrix"":""plasma"",""protease"":""not_applicable"",""route"":""iv"",""species"":""mouse""},""endpoint_family"":""T1/2"",""normalized_unit"":""log10(h)"",""parameter_basis"":""elapsed_time"",""parameter_semantics"":""systemic_terminal_pk"",""target_kind"":""regression"",""target_transform"":""log10""}"	0	0	log10	1	1
