raw_endpoint	rows	numeric_rows	label_rows	label_fraction	labels_json	missing_sequence_rows	nonstandard_sequence_rows	numeric_fraction	raw_exact_standard_20aa_rows	raw_sequence_nonblank_rows	relations_json	task_types_json	unique_identity_keys	unique_raw_sequences	unique_sources	unique_standard_sequences	units_json	whitespace_normalized_standard_20aa_rows
lipophilicity_proxy	12	12	0	0	{}	12	0	1	0	0	"{""blank"":12}"	"{""regression"":12}"	12	0	1	0	"[""CHI-IAM index""]"	0
logd	22	22	0	0	{}	22	0	1	0	0	"{""blank"":22}"	"{""regression"":22}"	22	0	1	0	"[""dimensionless""]"	0
membrane_retention	12	12	0	0	{}	12	0	1	0	0	"{""blank"":12}"	"{""regression"":12}"	12	0	1	0	"[""%""]"	0
permeability	10153	10153	0	0	{}	1693	8460	1	0	8460	"{""<"":4,""="":8460,"">"":6,""blank"":1683}"	"{""censored_regression"":10,""regression"":10143}"	9441	7662	6	0	"[""10^-6 cm/s"",""log10(cm/s)"",""source_log10_permeability""]"	0
permeability_recovery	16	16	0	0	{}	16	0	1	0	0	"{""blank"":16}"	"{""regression"":16}"	8	0	1	0	"[""%""]"	0
plasma_concentration	47	47	0	0	{}	47	0	1	0	0	"{""<"":13,""blank"":34}"	"{""censored_regression"":13,""regression"":34}"	4	0	1	0	"[""ng/mL""]"	0
plasma_stability	10	10	0	0	{}	10	0	1	0	0	"{"">"":2,""blank"":8}"	"{""censored_regression"":2,""regression"":8}"	9	0	1	0	"[""% remaining""]"	0
solubility	2488	320	2168	0.871382636656	"{""0"":835,""1"":1333}"	6	35	0.128617363344	2447	2482	"{""="":320,""blank"":2168}"	"{""binary"":2168,""regression"":320}"	1386	1379	4	1344	"[""Mass concentration, kg/m3"",""Mass fraction"",""Mass ratio of solute to solvent"",""Molality, mol/kg"",""Mole fraction"",""not_reported"",""uM""]"	2447
stability_half_life	21	21	0	0	{}	0	0	1	21	21	"{""<"":1,""="":20}"	"{""censored_numeric_regression"":1,""numeric_regression"":20}"	21	21	1	21	"[""h"",""min"",""s""]"	21
therapeutic_function	141921	0	141921	1	"{""1"":141921}"	0	10127	0	131743	141921	"{""blank"":141921}"	"{""source_defined_function_multilabel_classification"":141921}"	57778	57899	1	54241	"[""not_reported""]"	131794
tumor_homing	659	0	659	1	"{""1"":659}"	0	1	0	658	659	"{""blank"":659}"	"{""source_defined_function_multilabel_classification"":659}"	659	659	1	658	"[""not_reported""]"	658
volume_distribution	5	5	0	0	{}	5	0	1	0	0	"{""blank"":5}"	"{""regression"":5}"	3	0	1	0	"[""L/kg""]"	0
