task_id	endpoint_family	normalized_unit	normalized_relation	censoring_type	point_regression_eligible	n	unique_values	min	p01	p05	p25	median	p75	p95	p99	max	mean	sd	iqr	mad	top_value_fraction	zero_count	negative_count	positive_count	tukey_outlier_count
mlv1.t1_2.regression.plasma_serum_stability.107ca590e7ee932d	T1/2	log10(h)	>	lower_bound	false	1	1	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.plasma_serum_stability.6d999639129c1772	T1/2	log10(h)	~	approximate	false	3	2	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.422549020007	0.519764239481	0.539207283376	0.54406804435	0.382042678559	0.140318082832	0.121519024343	0	0.666666666667	0	0	3	0
mlv1.t1_2.regression.plasma_serum_stability.863b732d65703e52	T1/2	log10(h)	<	upper_bound	false	1	1	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.plasma_serum_stability.86ae9323cbc75f7b	T1/2	log10(h)	>	lower_bound	false	1	1	1.68124123738	1.68124123738	1.68124123738	1.68124123738	1.68124123738	1.68124123738	1.68124123738	1.68124123738	1.68124123738	1.68124123738	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.plasma_serum_stability.8b38e5bc82e2cd59	T1/2	log10(h)	<	upper_bound	false	1	1	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.plasma_serum_stability.8b38e5bc82e2cd59	T1/2	log10(h)	>	lower_bound	false	1	1	0.47712125472	0.47712125472	0.47712125472	0.47712125472	0.47712125472	0.47712125472	0.47712125472	0.47712125472	0.47712125472	0.47712125472	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.plasma_serum_stability.8e13e9ff5fd2c559	T1/2	log10(h)	<	upper_bound	false	1	1	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.plasma_serum_stability.8e13e9ff5fd2c559	T1/2	log10(h)	>	lower_bound	false	7	5	0.301029995664	0.301029995664	0.301029995664	0.562469368304	1.07918124605	1.38021124171	1.59093223868	1.66317943764	1.68124123738	0.992401957017	0.542709655881	0.817741873406	0.30102999566	0.285714285714	0	0	7	0
mlv1.t1_2.regression.plasma_serum_stability.8fd0bfc715bfe649	T1/2	log10(h)	<	upper_bound	false	1	1	-2.55630250077	-2.55630250077	-2.55630250077	-2.55630250077	-2.55630250077	-2.55630250077	-2.55630250077	-2.55630250077	-2.55630250077	-2.55630250077	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.plasma_serum_stability.a25db9e779320455	T1/2	log10(h)	<	upper_bound	false	1	1	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.plasma_serum_stability.a3e96e697b2e48be	T1/2	log10(h)	>	lower_bound	false	1	1	1.07918124605	1.07918124605	1.07918124605	1.07918124605	1.07918124605	1.07918124605	1.07918124605	1.07918124605	1.07918124605	1.07918124605	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.plasma_serum_stability.a595c1178c113a07	T1/2	log10(h)	>	lower_bound	false	2	2	0.682746592373	0.692731538823	0.732671324623	0.932370253625	1.18199391488	1.43161757613	1.63131650513	1.67125629093	1.68124123738	1.18199391488	0.706042334463	0.499247322504	0.499247322504	0.5	0	0	2	0
mlv1.t1_2.regression.plasma_serum_stability.a7e2a583ea2b8409	T1/2	log10(h)	>	lower_bound	false	1	1	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.plasma_serum_stability.a7e2a583ea2b8409	T1/2	log10(h)	~	approximate	false	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
mlv1.t1_2.regression.plasma_serum_stability.a7ea702eec3f3d2a	T1/2	log10(h)	<	upper_bound	false	1	1	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.plasma_serum_stability.a7ea702eec3f3d2a	T1/2	log10(h)	>	lower_bound	false	2	2	0.778151250384	0.791575477192	0.845272384425	1.11375692059	1.4493625908	1.784968261	2.05345279717	2.1071497044	2.12057393121	1.4493625908	0.949236180831	0.671211340413	0.671211340413	0.5	0	0	2	0
mlv1.t1_2.regression.plasma_serum_stability.b06e195dbb3a78eb	T1/2	log10(h)	>	lower_bound	false	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.plasma_serum_stability.bc0f6ea6a5ffc132	T1/2	log10(h)	<	upper_bound	false	3	1	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	0	0	0	1	0	3	0	0
mlv1.t1_2.regression.plasma_serum_stability.bc0f6ea6a5ffc132	T1/2	log10(h)	<=	upper_bound	false	1	1	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.plasma_serum_stability.bc0f6ea6a5ffc132	T1/2	log10(h)	>	lower_bound	false	2	2	-0.301029995664	-0.285801208211	-0.2248860584	0.079689690657	0.460409376978	0.841129063299	1.14570481236	1.20661996217	1.22184874962	0.460409376978	1.07683788772	0.761439372642	0.761439372642	0.5	0	1	1	0
mlv1.t1_2.regression.plasma_serum_stability.bc0f6ea6a5ffc132	T1/2	log10(h)	~	approximate	false	7	3	0	0	0	0.088045629528	0.176091259056	0.778151250383	1.38021124171	1.38021124171	1.38021124171	0.469813751513	0.626885929318	0.690105620855	0.176091259056	0.428571428571	2	0	5	0
mlv1.t1_2.regression.plasma_serum_stability.cb59ba36993c6f84	T1/2	log10(h)	>	lower_bound	false	3	1	1.07918124605	1.07918124605	1.07918124605	1.07918124605	1.07918124605	1.07918124605	1.07918124605	1.07918124605	1.07918124605	1.07918124605	0	0	0	1	0	0	3	0
mlv1.t1_2.regression.plasma_serum_stability.cc7a414c7b4dd429	T1/2	log10(h)	>	lower_bound	false	1	1	0.698970004336	0.698970004336	0.698970004336	0.698970004336	0.698970004336	0.698970004336	0.698970004336	0.698970004336	0.698970004336	0.698970004336	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.plasma_serum_stability.d8788970c5e5ac29	T1/2	log10(h)	<	upper_bound	false	1	1	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.plasma_serum_stability.d8788970c5e5ac29	T1/2	log10(h)	~	approximate	false	1	1	-0.47712125472	-0.47712125472	-0.47712125472	-0.47712125472	-0.47712125472	-0.47712125472	-0.47712125472	-0.47712125472	-0.47712125472	-0.47712125472	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.protease_intestinal_stability.718a9a4472cc08a2	T1/2	log10(h)	<	upper_bound	false	3	3	-1.47712125472	-1.43359942954	-1.25951212881	-0.389075625192	0.698970004336	1.30102999566	1.78267798872	1.87900758734	1.90308998699	0.374979578869	1.71323797427	1.69010562085	1.20411998265	0.333333333333	0	1	2	0
mlv1.t1_2.regression.protease_intestinal_stability.718a9a4472cc08a2	T1/2	log10(h)	>	lower_bound	false	5	2	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.602059991328	0.983756995106	1.06009639586	1.07918124605	0.697484242272	0.213375111814	0	0	0.8	0	0	5	1
mlv1.t1_2.regression.protease_intestinal_stability.718a9a4472cc08a2	T1/2	log10(h)	~	approximate	false	3	3	0.698970004336	0.702491829517	0.716579130242	0.787015633864	0.875061263392	1.3600796517	1.74809436235	1.82569730448	1.84509804001	1.13970976925	0.617196477856	0.573064017837	0.176091259056	0.333333333333	0	0	3	0
mlv1.t1_2.regression.protease_intestinal_stability.79d198cc6413eb6c	T1/2	log10(h)	>	lower_bound	false	1	1	0.698970004336	0.698970004336	0.698970004336	0.698970004336	0.698970004336	0.698970004336	0.698970004336	0.698970004336	0.698970004336	0.698970004336	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.protease_intestinal_stability.90eb8d49bdfc0ed8	T1/2	log10(h)	>	lower_bound	false	1	1	1.98227123304	1.98227123304	1.98227123304	1.98227123304	1.98227123304	1.98227123304	1.98227123304	1.98227123304	1.98227123304	1.98227123304	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.protease_intestinal_stability.f1cd9df4df1eb302	T1/2	log10(h)	>	lower_bound	false	1	1	1.07918124605	1.07918124605	1.07918124605	1.07918124605	1.07918124605	1.07918124605	1.07918124605	1.07918124605	1.07918124605	1.07918124605	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.protease_intestinal_stability.f1cd9df4df1eb302	T1/2	log10(h)	~	approximate	false	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
mlv1.t1_2.regression.protease_intestinal_stability.fa13a23990ed393c	T1/2	log10(h)	>	lower_bound	false	1	1	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	1.38021124171	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.systemic_terminal_pk.042db1d33d22db01	T1/2	log10(h)	<	upper_bound	false	1	1	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.systemic_terminal_pk.09d1ec6d0bb8309f	T1/2	log10(h)	<	upper_bound	false	1	1	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	-1.77815125038	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.systemic_terminal_pk.0c4bf7108b93fc3b	T1/2	log10(h)	~	approximate	false	1	1	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.systemic_terminal_pk.0e35eb2d742088d6	T1/2	log10(h)	<	upper_bound	false	1	1	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	-0.301029995664	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.systemic_terminal_pk.13c5fc9e393d4491	T1/2	log10(h)	<	upper_bound	false	2	2	-1.77815125038	-1.77116155034	-1.74320275016	-1.6034087493	-1.42866624822	-1.25392374713	-1.11412974627	-1.08617094609	-1.07918124605	-1.42866624822	0.494246429908	0.349485002165	0.349485002165	0.5	0	2	0	0
mlv1.t1_2.regression.systemic_terminal_pk.13e17c10e6b26bc2	T1/2	log10(h)	~	approximate	false	1	1	1.51851393988	1.51851393988	1.51851393988	1.51851393988	1.51851393988	1.51851393988	1.51851393988	1.51851393988	1.51851393988	1.51851393988	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.systemic_terminal_pk.19f9440b099488f9	T1/2	log10(h)	<	upper_bound	false	1	1	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0.301029995664	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.systemic_terminal_pk.25170c6344b8887c	T1/2	log10(h)	<	upper_bound	false	2	2	-0.602059991328	-0.596039391415	-0.571956991762	-0.451544993496	-0.301029995664	-0.150514997832	-0.0301029995664	-0.00602059991328	0	-0.301029995664	0.425720702549	0.301029995664	0.301029995664	0.5	1	1	0	0
mlv1.t1_2.regression.systemic_terminal_pk.2998e8c84f048c96	T1/2	log10(h)	>	lower_bound	false	2	2	0.47712125472	0.483141854633	0.507224254286	0.627636252552	0.778151250385	0.928666248218	1.04907824648	1.07316064614	1.07918124605	0.778151250385	0.425720702551	0.301029995665	0.301029995665	0.5	0	0	2	0
mlv1.t1_2.regression.systemic_terminal_pk.2998e8c84f048c96	T1/2	log10(h)	~	approximate	false	1	1	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	-1.07918124605	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.systemic_terminal_pk.2a1c378178fb4998	T1/2	log10(h)	~	approximate	false	3	3	0.301029995664	0.315837249454	0.375066264614	0.671211340412	1.04139268516	1.56028696561	1.97540238996	2.05842547483	2.07918124605	1.14053464229	0.893211796306	0.889075625193	0.740362689496	0.333333333333	0	0	3	0
mlv1.t1_2.regression.systemic_terminal_pk.3efba457bde962a2	T1/2	log10(h)	>	lower_bound	false	1	1	1.68124123738	1.68124123738	1.68124123738	1.68124123738	1.68124123738	1.68124123738	1.68124123738	1.68124123738	1.68124123738	1.68124123738	0	0	0	1	0	0	1	0
mlv1.t1_2.regression.systemic_terminal_pk.4169f031d382c9a3	T1/2	log10(h)	~	approximate	false	2	2	-0.45593195565	-0.45023320257	-0.427438190252	-0.313463128661	-0.170994301671	-0.0285254746822	0.0854495869092	0.108244599227	0.113943352307	-0.170994301671	0.402962694687	0.284937653979	0.284937653979	0.5	0	1	1	0
mlv1.t1_2.regression.systemic_terminal_pk.4609b4673c0db071	T1/2	log10(h)	~	approximate	false	1	1	-1.60205999133	-1.60205999133	-1.60205999133	-1.60205999133	-1.60205999133	-1.60205999133	-1.60205999133	-1.60205999133	-1.60205999133	-1.60205999133	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.systemic_terminal_pk.49987fe67bb1b8d4	T1/2	log10(h)	~	approximate	false	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
mlv1.t1_2.regression.systemic_terminal_pk.4a9b2b0ae584b6a0	T1/2	log10(h)	<	upper_bound	false	1	1	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	-1.47712125472	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.systemic_terminal_pk.4a9b2b0ae584b6a0	T1/2	log10(h)	~	approximate	false	1	1	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	-0.778151250384	0	0	0	1	0	1	0	0
mlv1.t1_2.regression.systemic_terminal_pk.4e4d6b19a222e9c4	T1/2	log10(h)	<=	upper_bound	false	2	2	-0.778151250383	-0.770369737879	-0.739243687864	-0.583613437787	-0.389075625192	-0.194537812596	-0.0389075625192	-0.00778151250383	0	-0.389075625192	0.550236025935	0.389075625192	0.389075625192	0.5	1	1	0	0
