data_layer	endpoint	partition	length_metric	length	representative_rows	member_rows
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	6	13	13
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	7	17	17
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	8	22	22
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	9	16	16
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	10	207	207
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	11	9	9
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	12	19	19
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	13	22	22
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	14	4	4
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	15	12	12
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	16	190	190
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	17	6	6
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	18	14	14
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	19	9	9
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	20	6	6
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	21	8	8
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	22	6	6
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	23	6	6
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	24	8	8
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	25	10	10
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	26	11	11
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	27	11	11
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	28	10	10
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	29	21	21
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	30	9	9
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	31	16	16
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	32	7	7
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	33	13	13
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	34	16	16
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	35	10	10
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	36	6	6
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	37	10	10
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	38	25	25
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	39	17	17
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	40	10	10
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	41	8	8
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	42	8	8
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	43	7	7
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	44	2	2
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	45	4	4
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	46	6	6
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	47	4	4
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	48	2	2
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	49	2	2
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	50	2	2
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	51	2	2
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	52	1	1
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	53	1	1
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	54	1	1
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	56	1	1
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	58	1	1
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	62	2	2
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	65	1	1
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	66	1	1
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	70	4	4
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	75	1	1
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	76	1	1
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	80	1	1
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	82	1	1
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	84	2	2
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	85	1	1
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	90	1	1
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	93	2	2
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	94	1	1
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	95	1	1
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	98	2	2
ml_clean_partitions	T1/2	binary_evidence_catalog	raw_standard_20aa_residue_count	100	1	1
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	2	12	12
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	3	8	8
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	4	9	9
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	5	18	18
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	6	13	13
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	7	17	17
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	8	22	22
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	9	16	16
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	10	207	207
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	11	9	9
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	12	19	19
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	13	22	22
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	14	4	4
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	15	12	12
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	16	190	190
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	17	6	6
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	18	14	14
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	19	9	9
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	20	6	6
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	21	8	8
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	22	6	6
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	23	6	6
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	24	8	8
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	25	10	10
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	26	11	11
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	27	11	11
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	28	10	10
ml_clean_partitions	T1/2	binary_evidence_catalog	selected_model_residue_count_sequence_or_helm	29	21	21
