endpoint_family	partition	representation_type	rows	member_rows	unique_identity_groups	unique_representations	character_length_iqr	character_length_mad	character_length_max	character_length_mean	character_length_median	character_length_min	character_length_n	character_length_negative_count	character_length_p01	character_length_p05	character_length_p25	character_length_p75	character_length_p95	character_length_p99	character_length_positive_count	character_length_sd	character_length_top_value_fraction	character_length_tukey_outlier_count	character_length_unique_values	character_length_zero_count	model_residue_count_iqr	model_residue_count_mad	model_residue_count_max	model_residue_count_mean	model_residue_count_median	model_residue_count_min	model_residue_count_n	model_residue_count_negative_count	model_residue_count_p01	model_residue_count_p05	model_residue_count_p25	model_residue_count_p75	model_residue_count_p95	model_residue_count_p99	model_residue_count_positive_count	model_residue_count_sd	model_residue_count_top_value_fraction	model_residue_count_tukey_outlier_count	model_residue_count_unique_values	model_residue_count_zero_count	nonascii_rows	prefix_error_rows
permeability	semantic_review	helm	149	154	62	142	31	16	148	97.4832214765	95	64	149	0	64.96	72	80	111	130.6	143.04	149	19.663591004	0.0805369127517	0	43	0	5	0	12	7.85906040268	6	4	149	0	4.48	6	6	11	12	12	149	2.38525916272	0.55033557047	0	7	0	0	0
permeability	semantic_review	smiles	290	290	125	125	23	6	133	80.7172413793	73	60	290	0	60	65	67	90	115	130	290	19.0619835609	0.103448275862	6	37	0							0												0		0	0
permeability	strict_numeric	helm	8265	8301	7575	7923	19	10	176	96.4820326679	94	60	8265	0	68	75	86	105	128	140	8265	15.3480497429	0.0396854204477	235	99	0	4	1	15	8.33998790079	7	2	8265	0	3	6	6	10	12	14	8265	2.41146809306	0.260738052027	0	14	0	0	0
permeability	strict_numeric	smiles	1564	1564	1233	1233	19	9	253	83.7480818414	77	53	1564	0	57.63	62	70	89	131	178.11	1564	23.3328408354	0.042199488491	143	118	0							0												0		0	0
solubility	all	helm	2188	2188	1338	1338	20	4	104	63.1087751371	68	32	2188	0	34	36	52	72	72	80	2188	11.6208607248	0.405393053016	1	26	0	10	2	43	22.4309872029	25	2	2188	0	7.87	9	17	27	27	31	2188	6.09543740359	0.405393053016	1	26	0	0	0
solubility	all	sequence	259	259	7	7	0	0	10	6.48262548263	6	6	259	0	6	6	6	6	9	10	259	0.993529092109	0.760617760618	62	5	0	0	0	6	2.48262548263	2	2	259	0	2	2	2	2	5	6	259	0.993529092109	0.760617760618	62	5	0	0	0
solubility	all	smiles	41	41	41	41	25	13	253	199.43902439	201	154	41	0	154.4	155	189	214	241	248.6	41	23.9008878292	0.0487804878049	1	33	0							0												0		0	0
solubility	binary_evidence_catalog	helm	2168	2168	1337	1337	20	4	104	63.2389298893	68	32	2168	0	34	36	52	72	72	80	2168	11.5946822446	0.409132841328	1	25	0	10	2	43	22.6194649446	25	7	2168	0	8	9	17	27	27	31	2168	5.7973411223	0.409132841328	1	25	0	0	0
solubility	semantic_review	helm	18	18	1	1	0	0	49	49	49	49	18	0	49	49	49	49	49	49	18	0	1	0	1	0	0	0	2	2	2	2	18	0	2	2	2	2	2	2	18	0	1	0	1	0	0	0
solubility	semantic_review	sequence	213	213	7	7	1	0	10	6.5117370892	6	6	213	0	6	6	6	7	9	10	213	1.01688726226	0.746478873239	14	5	0	1	0	6	2.5117370892	2	2	213	0	2	2	2	3	5	6	213	1.01688726226	0.746478873239	14	5	0	0	0
solubility	strict_numeric	helm	2	2	1	1	0	0	49	49	49	49	2	0	49	49	49	49	49	49	2	0	1	0	1	0	0	0	2	2	2	2	2	0	2	2	2	2	2	2	2	0	1	0	1	0	0	0
solubility	strict_numeric	sequence	46	46	6	6	0	0	10	6.34782608696	6	6	46	0	6	6	6	6	8	9.55	46	0.874767049736	0.826086956522	8	5	0	0	0	6	2.34782608696	2	2	46	0	2	2	2	2	4	5.55	46	0.874767049736	0.826086956522	8	5	0	0	0
solubility	strict_numeric	smiles	41	41	41	41	25	13	253	199.43902439	201	154	41	0	154.4	155	189	214	241	248.6	41	23.9008878292	0.0487804878049	1	33	0							0												0		0	0
