endpoint_family	parameter_semantics	parameter_basis	assay_family	normalized_unit	target_transform	descriptive_only	n	unique_values	min	p01	p05	p25	median	p75	p95	p99	max	mean	sd	iqr	mad	top_value_fraction	zero_count	negative_count	positive_count	tukey_outlier_count	tasks	unique_identities	unique_sources
F	absolute_bioavailability	absolute	source_reported_pk	fraction	identity	true	3	3	0.062	0.06424	0.0732	0.118	0.174	0.2	0.2208	0.22496	0.226	0.154	0.083809307359	0.082	0.052	0.333333333333	0	0	3	0	3	1	1
LogD	distribution_coefficient	pH_7.4	chi_hplc	dimensionless_log10	identity	true	57	54	-0.3	-0.0032	0.584	1.5	2.19	3.16	4.656	5.2488	5.26	2.37526315789	1.26822725721	1.66	0.77	0.0350877192982	0	1	56	0	6	57	1
LogD	distribution_coefficient	pH_7.4	source_reported_method_unknown	dimensionless_log10	identity	true	22	21	-1.7	-1.6538	-1.443	-0.3425	1.71	2.2025	2.5785	2.8249	2.89	1.07772727273	1.4287021477	2.545	0.795	0.0909090909091	0	6	16	0	1	22	1
PPB	fraction_bound	plasma_or_serum_protein_binding	ppb	fraction_bound	identity	true	103	71	0	0	0.00086	0.52	0.89	0.9825	0.992	0.99398	0.999	0.719965048544	0.341973597682	0.4625	0.1	0.0776699029126	5	0	98	0	47	69	4
T1/2	other_context	elapsed_time	other_context	log10(h)	log10	true	166	137	-2.38021124171	-2.01132313548	-1.47712125472	-0.788072449684	-0.014052969186	0.636404424256	1.73955969183	2.49647529663	2.65390682964	-0.0208816907995	1.046507144	1.42447687394	0.693032800745	0.0421686746988	3	84	79	0	91	116	2
T1/2	plasma_serum_stability	elapsed_time	plasma_serum_stability	log10(h)	log10	true	213	166	-2.21387981995	-1.64755179301	-1.36015698842	-0.664207898077	0.113943352307	0.819543935542	1.46923990648	1.99333461085	2.06818586175	0.0965767465397	0.917916866474	1.48375183362	0.737314996412	0.0234741784038	3	93	117	0	59	167	2
T1/2	protease_intestinal_stability	elapsed_time	protease_intestinal_stability	log10(h)	log10	true	393	317	-6.65321251378	-6.51490981561	-6.22196117438	-5.69897000434	-5.10759618086	-4.44470397589	-2.20585484298	1.09333263672	1.357934847	-4.79610182787	1.41820744984	1.25426602845	0.62916238437	0.0127226463104	0	383	10	25	14	388	1
T1/2	systemic_terminal_pk	elapsed_time	systemic_terminal_pk	log10(h)	log10	true	620	446	-2.32330639038	-1.93919807269	-1.40058685269	-0.583931663897	0.204119982656	0.946922631472	1.77469867996	2.19768195241	2.72263392253	0.183714421341	1.00416263001	1.53085429537	0.750122526783	0.0177419354839	5	264	351	0	246	442	3
Vd	apparent_volume	apparent_over_f	noncompartmental_analysis	L	identity	true	11	11	18.2	20.43	29.35	50.75	104	324.785	379.25	397.346	401.87	185.82	152.035891684	274.035	85.8	0.0909090909091	0	0	11	0	11	2	1
Vd	apparent_volume	apparent_over_f	noncompartmental_analysis	L/kg	identity	true	8	8	1.83	1.8811	2.0855	2.8	2.965	11.29575	12.59625	12.70965	12.738	6.152625	4.88743400211	8.49575	0.77	0.125	0	0	8	0	8	2	2
